Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;12 Galicia;Ambos sexos;16-64 años;TOTAL;2021;1.667.827
Total Nacional;12 Galicia;Ambos sexos;16-64 años;TOTAL;2020;1.674.819
Total Nacional;12 Galicia;Ambos sexos;16-64 años;TOTAL;2019;1.677.221
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Españoles;2021;1.575.162
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Españoles;2020;1.583.758
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Españoles;2019;1.595.233
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Extranjeros;2021;92.665
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Extranjeros;2020;91.061
Total Nacional;12 Galicia;Ambos sexos;16-64 años;Extranjeros;2019;81.988
Total Nacional;12 Galicia;Ambos sexos;65 y más;TOTAL;2021;694.140
Total Nacional;12 Galicia;Ambos sexos;65 y más;TOTAL;2020;687.824
Total Nacional;12 Galicia;Ambos sexos;65 y más;TOTAL;2019;679.784
Total Nacional;12 Galicia;Ambos sexos;65 y más;Españoles;2021;686.565
Total Nacional;12 Galicia;Ambos sexos;65 y más;Españoles;2020;680.519
Total Nacional;12 Galicia;Ambos sexos;65 y más;Españoles;2019;673.444
Total Nacional;12 Galicia;Ambos sexos;65 y más;Extranjeros;2021;7.575
Total Nacional;12 Galicia;Ambos sexos;65 y más;Extranjeros;2020;7.305
Total Nacional;12 Galicia;Ambos sexos;65 y más;Extranjeros;2019;6.340
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;TOTAL;2021;1.297.301
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;TOTAL;2020;1.300.153
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;TOTAL;2019;1.298.964
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Españoles;2021;1.242.447
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Españoles;2020;1.246.128
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Españoles;2019;1.250.366
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Extranjeros;2021;54.854
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Extranjeros;2020;54.025
Total Nacional;12 Galicia;Hombres;TOTAL EDADES;Extranjeros;2019;48.598
Total Nacional;12 Galicia;Hombres;0-15 años;TOTAL;2021;171.770
Total Nacional;12 Galicia;Hombres;0-15 años;TOTAL;2020;174.707
Total Nacional;12 Galicia;Hombres;0-15 años;TOTAL;2019;176.244
Total Nacional;12 Galicia;Hombres;0-15 años;Españoles;2021;164.524
Total Nacional;12 Galicia;Hombres;0-15 años;Españoles;2020;167.476
Total Nacional;12 Galicia;Hombres;0-15 años;Españoles;2019;169.905
Total Nacional;12 Galicia;Hombres;0-15 años;Extranjeros;2021;7.246
Total Nacional;12 Galicia;Hombres;0-15 años;Extranjeros;2020;7.231
Total Nacional;12 Galicia;Hombres;0-15 años;Extranjeros;2019;6.339
Total Nacional;12 Galicia;Hombres;16-64 años;TOTAL;2021;828.175
Total Nacional;12 Galicia;Hombres;16-64 años;TOTAL;2020;831.656
Total Nacional;12 Galicia;Hombres;16-64 años;TOTAL;2019;833.010
Total Nacional;12 Galicia;Hombres;16-64 años;Españoles;2021;783.889
Total Nacional;12 Galicia;Hombres;16-64 años;Españoles;2020;788.085
Total Nacional;12 Galicia;Hombres;16-64 años;Españoles;2019;793.601
Total Nacional;12 Galicia;Hombres;16-64 años;Extranjeros;2021;44.286
Total Nacional;12 Galicia;Hombres;16-64 años;Extranjeros;2020;43.571
Total Nacional;12 Galicia;Hombres;16-64 años;Extranjeros;2019;39.409
Total Nacional;12 Galicia;Hombres;65 y más;TOTAL;2021;297.356
Total Nacional;12 Galicia;Hombres;65 y más;TOTAL;2020;293.790
Total Nacional;12 Galicia;Hombres;65 y más;TOTAL;2019;289.710
Total Nacional;12 Galicia;Hombres;65 y más;Españoles;2021;294.034
Total Nacional;12 Galicia;Hombres;65 y más;Españoles;2020;290.567
Total Nacional;12 Galicia;Hombres;65 y más;Españoles;2019;286.860
Total Nacional;12 Galicia;Hombres;65 y más;Extranjeros;2021;3.322
Total Nacional;12 Galicia;Hombres;65 y más;Extranjeros;2020;3.223
Total Nacional;12 Galicia;Hombres;65 y más;Extranjeros;2019;2.850
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;TOTAL;2021;1.398.344
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;TOTAL;2020;1.401.666
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;TOTAL;2019;1.400.535
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Españoles;2021;1.338.664
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Españoles;2020;1.343.053
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Españoles;2019;1.348.265
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Extranjeros;2021;59.680
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Extranjeros;2020;58.613
Total Nacional;12 Galicia;Mujeres;TOTAL EDADES;Extranjeros;2019;52.270
Total Nacional;12 Galicia;Mujeres;0-15 años;TOTAL;2021;161.908
Total Nacional;12 Galicia;Mujeres;0-15 años;TOTAL;2020;164.469
Total Nacional;12 Galicia;Mujeres;0-15 años;TOTAL;2019;166.250
Total Nacional;12 Galicia;Mujeres;0-15 años;Españoles;2021;154.860
Total Nacional;12 Galicia;Mujeres;0-15 años;Españoles;2020;157.428
Total Nacional;12 Galicia;Mujeres;0-15 años;Españoles;2019;160.049
Total Nacional;12 Galicia;Mujeres;0-15 años;Extranjeros;2021;7.048
Total Nacional;12 Galicia;Mujeres;0-15 años;Extranjeros;2020;7.041
Total Nacional;12 Galicia;Mujeres;0-15 años;Extranjeros;2019;6.201
Total Nacional;12 Galicia;Mujeres;16-64 años;TOTAL;2021;839.652
Total Nacional;12 Galicia;Mujeres;16-64 años;TOTAL;2020;843.163
Total Nacional;12 Galicia;Mujeres;16-64 años;TOTAL;2019;844.211
Total Nacional;12 Galicia;Mujeres;16-64 años;Españoles;2021;791.273
Total Nacional;12 Galicia;Mujeres;16-64 años;Españoles;2020;795.673
Total Nacional;12 Galicia;Mujeres;16-64 años;Españoles;2019;801.632
Total Nacional;12 Galicia;Mujeres;16-64 años;Extranjeros;2021;48.379
Total Nacional;12 Galicia;Mujeres;16-64 años;Extranjeros;2020;47.490
Total Nacional;12 Galicia;Mujeres;16-64 años;Extranjeros;2019;42.579
Total Nacional;12 Galicia;Mujeres;65 y más;TOTAL;2021;396.784
Total Nacional;12 Galicia;Mujeres;65 y más;TOTAL;2020;394.034
Total Nacional;12 Galicia;Mujeres;65 y más;TOTAL;2019;390.074
Total Nacional;12 Galicia;Mujeres;65 y más;Españoles;2021;392.531
Total Nacional;12 Galicia;Mujeres;65 y más;Españoles;2020;389.952
Total Nacional;12 Galicia;Mujeres;65 y más;Españoles;2019;386.584
Total Nacional;12 Galicia;Mujeres;65 y más;Extranjeros;2021;4.253
Total Nacional;12 Galicia;Mujeres;65 y más;Extranjeros;2020;4.082
Total Nacional;12 Galicia;Mujeres;65 y más;Extranjeros;2019;3.490
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;TOTAL;2021;6.751.251
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;TOTAL;2020;6.779.888
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;TOTAL;2019;6.663.394
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Españoles;2021;5.796.129
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Españoles;2020;5.824.174
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Españoles;2019;5.781.575
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Extranjeros;2021;955.122
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Extranjeros;2020;955.714
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;TOTAL EDADES;Extranjeros;2019;881.819
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;TOTAL;2021;1.061.290
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;TOTAL;2020;1.084.265
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;TOTAL;2019;1.085.284
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Españoles;2021;924.784
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Españoles;2020;946.935
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Españoles;2019;956.566
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Extranjeros;2021;136.506
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Extranjeros;2020;137.330
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;0-15 años;Extranjeros;2019;128.718
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;TOTAL;2021;4.476.865
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;TOTAL;2020;4.486.885
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;TOTAL;2019;4.397.071
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Españoles;2021;3.699.005
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Españoles;2020;3.707.403
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Españoles;2019;3.677.851
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Extranjeros;2021;777.860
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Extranjeros;2020;779.482
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;16-64 años;Extranjeros;2019;719.220
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;TOTAL;2021;1.213.096
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;TOTAL;2020;1.208.738
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;TOTAL;2019;1.181.039
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Españoles;2021;1.172.340
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Españoles;2020;1.169.836
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Españoles;2019;1.147.158
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Extranjeros;2021;40.756
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Extranjeros;2020;38.902
Total Nacional;13 Madrid, Comunidad de;Ambos sexos;65 y más;Extranjeros;2019;33.881
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;TOTAL;2021;3.229.700
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;TOTAL;2020;3.243.793
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;TOTAL;2019;3.187.312
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Españoles;2021;2.778.318
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Españoles;2020;2.793.003
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Españoles;2019;2.771.228
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Extranjeros;2021;451.382
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Extranjeros;2020;450.790
Total Nacional;13 Madrid, Comunidad de;Hombres;TOTAL EDADES;Extranjeros;2019;416.084
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;TOTAL;2021;544.274
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;TOTAL;2020;556.435
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;TOTAL;2019;556.793
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Españoles;2021;474.314
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Españoles;2020;486.075
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Españoles;2019;490.790
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Extranjeros;2021;69.960
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Extranjeros;2020;70.360
Total Nacional;13 Madrid, Comunidad de;Hombres;0-15 años;Extranjeros;2019;66.003
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;TOTAL;2021;2.182.460
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;TOTAL;2020;2.184.908
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;TOTAL;2019;2.139.949
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Españoles;2021;1.816.835
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Españoles;2020;1.819.532
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Españoles;2019;1.802.900
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Extranjeros;2021;365.625
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Extranjeros;2020;365.376
Total Nacional;13 Madrid, Comunidad de;Hombres;16-64 años;Extranjeros;2019;337.049
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;TOTAL;2021;502.966
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;TOTAL;2020;502.450
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;TOTAL;2019;490.570
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Españoles;2021;487.169
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Españoles;2020;487.396
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Españoles;2019;477.538
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Extranjeros;2021;15.797
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Extranjeros;2020;15.054
Total Nacional;13 Madrid, Comunidad de;Hombres;65 y más;Extranjeros;2019;13.032
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;TOTAL;2021;3.521.551
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;TOTAL;2020;3.536.095
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;TOTAL;2019;3.476.082
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Españoles;2021;3.017.811
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Españoles;2020;3.031.171
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Españoles;2019;3.010.347
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Extranjeros;2021;503.740
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Extranjeros;2020;504.924
Total Nacional;13 Madrid, Comunidad de;Mujeres;TOTAL EDADES;Extranjeros;2019;465.735
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;TOTAL;2021;517.016
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;TOTAL;2020;527.830
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;TOTAL;2019;528.491
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Españoles;2021;450.470
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Españoles;2020;460.860
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Españoles;2019;465.776
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Extranjeros;2021;66.546
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Extranjeros;2020;66.970
Total Nacional;13 Madrid, Comunidad de;Mujeres;0-15 años;Extranjeros;2019;62.715
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;TOTAL;2021;2.294.405
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;TOTAL;2020;2.301.977
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;TOTAL;2019;2.257.122
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Españoles;2021;1.882.170
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Españoles;2020;1.887.871
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Españoles;2019;1.874.951
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Extranjeros;2021;412.235
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Extranjeros;2020;414.106
Total Nacional;13 Madrid, Comunidad de;Mujeres;16-64 años;Extranjeros;2019;382.171
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;TOTAL;2021;710.130
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;TOTAL;2020;706.288
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;TOTAL;2019;690.469
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Españoles;2021;685.171
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Españoles;2020;682.440
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Españoles;2019;669.620
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Extranjeros;2021;24.959
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Extranjeros;2020;23.848
Total Nacional;13 Madrid, Comunidad de;Mujeres;65 y más;Extranjeros;2019;20.849
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;TOTAL;2021;1.518.486
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;TOTAL;2020;1.511.251
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;TOTAL;2019;1.493.898
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Españoles;2021;1.296.162
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Españoles;2020;1.289.034
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Españoles;2019;1.282.659
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Extranjeros;2021;222.324
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Extranjeros;2020;222.217
Total Nacional;14 Murcia, Región de;Ambos sexos;TOTAL EDADES;Extranjeros;2019;211.239
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;TOTAL;2021;270.636
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;TOTAL;2020;273.772
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;TOTAL;2019;274.752
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Españoles;2021;231.068
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Españoles;2020;232.800
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Españoles;2019;234.655
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Extranjeros;2021;39.568
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Extranjeros;2020;40.972
Total Nacional;14 Murcia, Región de;Ambos sexos;0-15 años;Extranjeros;2019;40.097
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;TOTAL;2021;1.005.539
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;TOTAL;2020;999.512
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;TOTAL;2019;985.743
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Españoles;2021;838.553
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Españoles;2020;833.205
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Españoles;2019;828.347
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Extranjeros;2021;166.986
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Extranjeros;2020;166.307
Total Nacional;14 Murcia, Región de;Ambos sexos;16-64 años;Extranjeros;2019;157.396
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;TOTAL;2021;242.311
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;TOTAL;2020;237.967
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;TOTAL;2019;233.403
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Españoles;2021;226.541
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Españoles;2020;223.029
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Españoles;2019;219.657
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Extranjeros;2021;15.770
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Extranjeros;2020;14.938
Total Nacional;14 Murcia, Región de;Ambos sexos;65 y más;Extranjeros;2019;13.746
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;TOTAL;2021;760.362
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;TOTAL;2020;756.699
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;TOTAL;2019;747.615
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Españoles;2021;640.253
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Españoles;2020;636.645
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Españoles;2019;633.488
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Extranjeros;2021;120.109
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Extranjeros;2020;120.054
Total Nacional;14 Murcia, Región de;Hombres;TOTAL EDADES;Extranjeros;2019;114.127
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;TOTAL;2021;139.378
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;TOTAL;2020;140.879
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;TOTAL;2019;141.546
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Españoles;2021;118.916
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Españoles;2020;119.696
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Españoles;2019;120.792
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Extranjeros;2021;20.462
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Extranjeros;2020;21.183
Total Nacional;14 Murcia, Región de;Hombres;0-15 años;Extranjeros;2019;20.754
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;TOTAL;2021;514.187
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;TOTAL;2020;511.134
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;TOTAL;2019;503.680
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Españoles;2021;422.552
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Españoles;2020;419.811
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Españoles;2019;417.277
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Extranjeros;2021;91.635
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Extranjeros;2020;91.323
Total Nacional;14 Murcia, Región de;Hombres;16-64 años;Extranjeros;2019;86.403
Total Nacional;14 Murcia, Región de;Hombres;65 y más;TOTAL;2021;106.797
Total Nacional;14 Murcia, Región de;Hombres;65 y más;TOTAL;2020;104.686
Total Nacional;14 Murcia, Región de;Hombres;65 y más;TOTAL;2019;102.389
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Españoles;2021;98.785
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Españoles;2020;97.138
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Españoles;2019;95.419
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Extranjeros;2021;8.012
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Extranjeros;2020;7.548
Total Nacional;14 Murcia, Región de;Hombres;65 y más;Extranjeros;2019;6.970
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;TOTAL;2021;758.124
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;TOTAL;2020;754.552
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;TOTAL;2019;746.283
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Españoles;2021;655.909
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Españoles;2020;652.389
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Españoles;2019;649.171
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Extranjeros;2021;102.215
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Extranjeros;2020;102.163
Total Nacional;14 Murcia, Región de;Mujeres;TOTAL EDADES;Extranjeros;2019;97.112
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;TOTAL;2021;131.258
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;TOTAL;2020;132.893
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;TOTAL;2019;133.206
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Españoles;2021;112.152
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Españoles;2020;113.104
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Españoles;2019;113.863
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Extranjeros;2021;19.106
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Extranjeros;2020;19.789
Total Nacional;14 Murcia, Región de;Mujeres;0-15 años;Extranjeros;2019;19.343
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;TOTAL;2021;491.352
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;TOTAL;2020;488.378
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;TOTAL;2019;482.063
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Españoles;2021;416.001
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Españoles;2020;413.394
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Españoles;2019;411.070
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Extranjeros;2021;75.351
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Extranjeros;2020;74.984
Total Nacional;14 Murcia, Región de;Mujeres;16-64 años;Extranjeros;2019;70.993
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;TOTAL;2021;135.514
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;TOTAL;2020;133.281
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;TOTAL;2019;131.014
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Españoles;2021;127.756
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Españoles;2020;125.891
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Españoles;2019;124.238
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Extranjeros;2021;7.758
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Extranjeros;2020;7.390
Total Nacional;14 Murcia, Región de;Mujeres;65 y más;Extranjeros;2019;6.776
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;TOTAL;2021;661.537
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;TOTAL;2020;661.197
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;TOTAL;2019;654.214
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Españoles;2021;590.096
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Españoles;2020;590.531
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Españoles;2019;589.995
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Extranjeros;2021;71.441
