Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;03 Asturias, Principado de;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);4.325.104
Total Nacional;03 Asturias, Principado de;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;3.708.367
Total Nacional;03 Asturias, Principado de;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;4.728.470
Total Nacional;03 Asturias, Principado de;Valor;J. Información y comunicaciones;2021(P);542.690
Total Nacional;03 Asturias, Principado de;Valor;J. Información y comunicaciones;2020;481.526
Total Nacional;03 Asturias, Principado de;Valor;J. Información y comunicaciones;2019;480.405
Total Nacional;03 Asturias, Principado de;Valor;K. Actividades financieras y de seguros;2021(P);832.247
Total Nacional;03 Asturias, Principado de;Valor;K. Actividades financieras y de seguros;2020;819.429
Total Nacional;03 Asturias, Principado de;Valor;K. Actividades financieras y de seguros;2019;785.750
Total Nacional;03 Asturias, Principado de;Valor;L. Actividades inmobiliarias;2021(P);2.868.598
Total Nacional;03 Asturias, Principado de;Valor;L. Actividades inmobiliarias;2020;2.818.475
Total Nacional;03 Asturias, Principado de;Valor;L. Actividades inmobiliarias;2019;2.826.415
Total Nacional;03 Asturias, Principado de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.374.443
Total Nacional;03 Asturias, Principado de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.239.509
Total Nacional;03 Asturias, Principado de;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.400.901
Total Nacional;03 Asturias, Principado de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);4.280.504
Total Nacional;03 Asturias, Principado de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;4.229.517
Total Nacional;03 Asturias, Principado de;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;4.185.594
Total Nacional;03 Asturias, Principado de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);811.759
Total Nacional;03 Asturias, Principado de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;795.729
Total Nacional;03 Asturias, Principado de;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;1.028.276
Total Nacional;03 Asturias, Principado de;Valor;Valor añadido bruto total;2021(P);21.306.287
Total Nacional;03 Asturias, Principado de;Valor;Valor añadido bruto total;2020;19.453.520
Total Nacional;03 Asturias, Principado de;Valor;Valor añadido bruto total;2019;21.504.954
Total Nacional;03 Asturias, Principado de;Valor;Impuestos netos sobre los productos;2021(P);2.243.372
Total Nacional;03 Asturias, Principado de;Valor;Impuestos netos sobre los productos;2020;1.865.628
Total Nacional;03 Asturias, Principado de;Valor;Impuestos netos sobre los productos;2019;2.206.315
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
Total Nacional;03 Asturias, Principado de;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.031.668
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.198.090
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
Total Nacional;04 Balears, Illes;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);154.128
Total Nacional;04 Balears, Illes;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;148.537
Total Nacional;04 Balears, Illes;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;181.850
Total Nacional;04 Balears, Illes;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.806.386
Total Nacional;04 Balears, Illes;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.674.865
Total Nacional;04 Balears, Illes;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.791.348
Total Nacional;04 Balears, Illes;Valor;C. - De las cuales: Industria manufacturera;2021(P);775.341
Total Nacional;04 Balears, Illes;Valor;C. - De las cuales: Industria manufacturera;2020;739.139
Total Nacional;04 Balears, Illes;Valor;C. - De las cuales: Industria manufacturera;2019;843.963
Total Nacional;04 Balears, Illes;Valor;F. Construcción;2021(P);2.146.768
Total Nacional;04 Balears, Illes;Valor;F. Construcción;2020;2.151.854
Total Nacional;04 Balears, Illes;Valor;F. Construcción;2019;2.447.974
Total Nacional;04 Balears, Illes;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);8.306.374
